,ward_title,ward_id,complaint_count,complaint_acceptance_rate,complaint_resolution_rate,complaint_ignorance_rate,complaint_re_opening_rate,comments_per_complaint,effective_resolution_rate
0,A Narayanapura,56,102,0.4117647058823529,0.3137254901960784,0.0196078431372549,0.00980392156862745,1.0,0.761904761904762
1,Adugodi,147,16,0.4375,0.0625,0.125,0.0625,0.81,0.14285714285714285
2,Agaram,114,86,0.4883720930232558,0.313953488372093,0.023255813953488372,0.03488372093023256,1.12,0.6428571428571429
3,Agrahara Dasarahalli,105,15,0.3333333333333333,0.3333333333333333,0.0,0.0,0.87,1.0
4,Anjanapura,196,87,0.3793103448275862,0.25287356321839083,0.011494252873563218,0.011494252873563218,0.84,0.6666666666666667
5,Aramane Nagara,35,61,0.5409836065573771,0.45901639344262296,0.01639344262295082,0.0,1.39,0.8484848484848484
6,Arekere,193,188,0.39893617021276595,0.2553191489361702,0.02127659574468085,0.015957446808510637,0.91,0.64
7,Attiguppe,132,26,0.6538461538461539,0.46153846153846156,0.0,0.0,1.69,0.7058823529411765
8,Atturu,3,115,0.4,0.3130434782608696,0.0,0.008695652173913044,1.12,0.782608695652174
9,Azad Nagar,141,10,0.1,0.0,0.0,0.0,0.4,0.0
10,BTM Layout,176,205,0.47317073170731705,0.35121951219512193,0.03902439024390244,0.01951219512195122,1.31,0.7422680412371134
11,Bagalakunte,14,50,0.46,0.4,0.06,0.0,1.26,0.8695652173913043
12,Banasavadi,27,171,0.39766081871345027,0.2573099415204678,0.011695906432748537,0.03508771929824561,1.12,0.6470588235294118
13,Banashankari Temple,180,11,0.36363636363636365,0.2727272727272727,0.0,0.0,0.82,0.7499999999999999
14,Bapuji Nagar,134,6,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0
15,Basavanagudi,154,57,0.45614035087719296,0.3333333333333333,0.017543859649122806,0.017543859649122806,0.96,0.7307692307692307
16,Basavanapura,53,158,0.5443037974683544,0.4177215189873418,0.006329113924050633,0.03164556962025317,1.37,0.7674418604651163
17,Basaveshwara Nagar,100,39,0.23076923076923078,0.1794871794871795,0.05128205128205128,0.0,0.67,0.7777777777777778
18,Begur,192,534,0.4850187265917603,0.28651685393258425,0.0056179775280898875,0.026217228464419477,1.27,0.5907335907335907
19,Bellanduru,150,727,0.5749656121045392,0.4442916093535076,0.024759284731774415,0.03163686382393398,1.72,0.7727272727272727
20,Benniganahalli,50,73,0.6301369863013698,0.4520547945205479,0.0273972602739726,0.0,1.44,0.717391304347826
21,Bharathi Nagar,91,44,0.4090909090909091,0.29545454545454547,0.0,0.0,0.82,0.7222222222222222
22,Bilekahalli,188,236,0.4703389830508475,0.2754237288135593,0.025423728813559324,0.012711864406779662,1.21,0.5855855855855855
23,Binnipet,121,14,0.14285714285714285,0.07142857142857142,0.0,0.0,0.57,0.5
24,Bommanahalli,175,55,0.41818181818181815,0.2545454545454545,0.01818181818181818,0.01818181818181818,1.22,0.608695652173913
25,Byatarayanapura,7,173,0.3699421965317919,0.2543352601156069,0.005780346820809248,0.017341040462427744,1.04,0.6875
26,Byrasandra,169,48,0.4375,0.2916666666666667,0.08333333333333333,0.0,0.73,0.6666666666666667
27,C V Raman Nagar,57,147,0.46938775510204084,0.3129251700680272,0.02040816326530612,0.07482993197278912,1.18,0.6666666666666666
28,Chamrajapet,140,20,0.55,0.25,0.2,0.0,1.1,0.45454545454545453
